seed,subset,accuracy,weighted_f1,precision,recall,false_positive_count,false_negative_count,true_positive_count,true_negative_count,confusion_matrix,fit_seconds,predict_seconds,predict_microseconds_per_sample
9,Mobility Only (5 features),0.741,0.648745,0.644809,0.741,14,245,7,734,"[[734, 14], [245, 7]]",0.492278,0.010581,10.580959
9,Network Only (6 features),0.74,0.646571,0.635837,0.74,14,246,6,734,"[[734, 14], [246, 6]]",0.396061,0.010669,10.669
9,Trust Only (3 features),0.949,0.95025,0.955607,0.949,47,4,248,701,"[[701, 47], [4, 248]]",0.1302,0.005121,5.121041
9,Mobility + Network (11 features),0.743,0.639529,0.594928,0.743,6,251,1,742,"[[742, 6], [251, 1]]",0.579692,0.010221,10.221334
9,Mobility + Network + Trust (Proposed 14 features),0.949,0.95025,0.955607,0.949,47,4,248,701,"[[701, 47], [4, 248]]",0.271717,0.005218,5.217875
9,Post-Hoc Attack Counters (Leakage 4 features),0.675,0.662062,0.652239,0.675,137,188,64,611,"[[611, 137], [188, 64]]",0.143653,0.01008,10.080292
9,Proposed + Leakage (18 features),0.998,0.997997,0.998005,0.998,0,2,250,748,"[[748, 0], [2, 250]]",0.22821,0.004546,4.546167
10,Mobility Only (5 features),0.74,0.644917,0.629857,0.74,13,247,5,735,"[[735, 13], [247, 5]]",0.460957,0.010468,10.467791
10,Network Only (6 features),0.736,0.646015,0.627694,0.736,19,245,7,729,"[[729, 19], [245, 7]]",0.390121,0.010549,10.548708
10,Trust Only (3 features),0.945,0.946505,0.953255,0.945,52,3,249,696,"[[696, 52], [3, 249]]",0.116333,0.005093,5.093083
10,Mobility + Network (11 features),0.748,0.645654,0.686624,0.748,3,249,3,745,"[[745, 3], [249, 3]]",0.576807,0.010253,10.253375
10,Mobility + Network + Trust (Proposed 14 features),0.946,0.947553,0.954991,0.946,53,1,251,695,"[[695, 53], [1, 251]]",0.266635,0.005251,5.250833
10,Post-Hoc Attack Counters (Leakage 4 features),0.683,0.666762,0.655426,0.683,127,190,62,621,"[[621, 127], [190, 62]]",0.142811,0.009725,9.725041
10,Proposed + Leakage (18 features),1.0,1.0,1.0,1.0,0,0,252,748,"[[748, 0], [0, 252]]",0.225917,0.004454,4.454375
11,Mobility Only (5 features),0.738,0.65026,0.642,0.738,19,243,9,729,"[[729, 19], [243, 9]]",0.472887,0.010555,10.554667
11,Network Only (6 features),0.734,0.643333,0.617234,0.734,20,246,6,728,"[[728, 20], [246, 6]]",0.393238,0.010437,10.43675
11,Trust Only (3 features),0.956,0.957057,0.962083,0.956,43,1,251,705,"[[705, 43], [1, 251]]",0.116423,0.004992,4.991584
11,Mobility + Network (11 features),0.741,0.643761,0.626871,0.741,11,248,4,737,"[[737, 11], [248, 4]]",0.581315,0.010288,10.2875
11,Mobility + Network + Trust (Proposed 14 features),0.957,0.958054,0.963268,0.957,43,0,252,705,"[[705, 43], [0, 252]]",0.263927,0.005264,5.263792
11,Post-Hoc Attack Counters (Leakage 4 features),0.673,0.657526,0.646147,0.673,134,193,59,614,"[[614, 134], [193, 59]]",0.142559,0.010025,10.025416
11,Proposed + Leakage (18 features),1.0,1.0,1.0,1.0,0,0,252,748,"[[748, 0], [0, 252]]",0.233777,0.004566,4.565958
12,Mobility Only (5 features),0.742,0.64929,0.6492,0.742,13,245,7,735,"[[735, 13], [245, 7]]",0.455274,0.010448,10.448375
12,Network Only (6 features),0.736,0.641134,0.60911,0.736,16,248,4,732,"[[732, 16], [248, 4]]",0.398175,0.010699,10.698541
12,Trust Only (3 features),0.955,0.956014,0.960464,0.955,42,3,249,706,"[[706, 42], [3, 249]]",0.120557,0.00511,5.110167
12,Mobility + Network (11 features),0.747,0.645139,0.668435,0.747,4,249,3,744,"[[744, 4], [249, 3]]",0.56873,0.010165,10.164541
12,Mobility + Network + Trust (Proposed 14 features),0.955,0.956014,0.960464,0.955,42,3,249,706,"[[706, 42], [3, 249]]",0.295622,0.005459,5.459166
12,Post-Hoc Attack Counters (Leakage 4 features),0.68,0.662002,0.649601,0.68,126,194,58,622,"[[622, 126], [194, 58]]",0.143474,0.009992,9.991625
12,Proposed + Leakage (18 features),1.0,1.0,1.0,1.0,0,0,252,748,"[[748, 0], [0, 252]]",0.227801,0.004539,4.539083
13,Mobility Only (5 features),0.739,0.64101,0.609312,0.739,12,249,3,736,"[[736, 12], [249, 3]]",0.512297,0.010826,10.825625
13,Network Only (6 features),0.737,0.644953,0.625399,0.737,17,246,6,731,"[[731, 17], [246, 6]]",0.378087,0.010502,10.5025
13,Trust Only (3 features),0.957,0.957881,0.96156,0.957,39,4,248,709,"[[709, 39], [4, 248]]",0.116275,0.005,4.999917
13,Mobility + Network (11 features),0.747,0.641527,0.643687,0.747,2,251,1,746,"[[746, 2], [251, 1]]",0.597382,0.010363,10.362708
13,Mobility + Network + Trust (Proposed 14 features),0.961,0.961879,0.966227,0.961,39,0,252,709,"[[709, 39], [0, 252]]",0.270146,0.005338,5.338
13,Post-Hoc Attack Counters (Leakage 4 features),0.684,0.670545,0.660729,0.684,131,185,67,617,"[[617, 131], [185, 67]]",0.14529,0.044372,44.371583
